Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin Class,Second Name,Family Members
1,female,35.0,1,0,57.75,C,C,Mrs,1
3,male,28.0,0,0,7.25,S,N,Mr,0
3,male,32.0,0,0,7.75,Q,N,Mr,0
3,female,17.0,0,1,16.1,S,N,Miss,1
3,male,22.0,0,0,7.7958,S,N,Mr,0
3,female,21.774843750000002,2,0,23.25,Q,N,Miss,2
2,male,42.0,0,0,13.0,S,N,Mr,0
3,male,24.0,0,0,8.05,S,N,Mr,0
3,male,32.0,0,0,8.05,S,N,Mr,0
1,male,53.0,0,0,28.5,C,C,Col,0
3,female,38.903225806451616,0,4,25.4667,S,N,Mrs,4
3,male,32.0,1,0,6.4375,C,N,Mr,1
3,male,43.0,0,0,7.8958,S,N,Mr,0
3,male,24.0,0,0,7.8542,S,N,Mr,0
3,male,26.5,0,0,7.225,C,N,Mr,0
2,male,26.0,0,0,13.0,S,N,Mr,0
3,female,23.0,0,0,8.05,S,N,Miss,0
3,male,40.0,1,6,46.9,S,N,Mr,7
3,female,10.0,5,2,46.9,S,N,Miss,7
1,female,33.0,0,0,151.55,S,N,Miss,0
1,male,61.0,1,3,262.375,C,B,Mr,4
2,male,28.0,0,0,26.0,S,N,Mr,0
1,male,42.0,0,0,26.55,S,N,Mr,0
3,male,31.0,3,0,18.0,S,N,Mr,3
1,male,32.0,0,0,51.8625,S,E,Mr,0
3,male,22.0,0,0,8.05,S,N,Mr,0
1,male,32.0,0,0,26.55,S,N,Mr,0
2,male,30.0,1,1,26.0,S,N,Rev,2
1,female,23.0,0,1,83.1583,C,C,Mrs,1
3,male,32.0,0,0,7.8958,C,N,Mr,0
3,male,60.5,0,0,15.0,S,N,Mr,0
3,female,36.0,0,2,12.1833,S,N,Mrs,2
3,male,13.0,4,2,31.3875,S,N,Master,6
3,male,24.0,0,0,7.55,S,N,Mr,0
1,female,29.0,0,0,221.7792,S,C,Miss,0
3,female,23.0,0,0,7.8542,S,N,Miss,0
1,male,42.0,0,0,26.55,S,D,Mr,0
3,female,26.0,0,2,13.775,S,N,Mrs,2
3,female,21.774843750000002,0,0,7.7333,Q,N,Miss,0
3,male,7.0,1,1,15.2458,C,N,Master,2
2,female,26.0,0,0,13.5,S,N,Miss,0
3,male,32.0,0,0,7.0,S,N,Mr,0
2,male,41.0,0,0,13.0,S,N,Rev,0
3,female,26.0,1,1,22.025,S,N,Mrs,2
1,male,48.0,0,0,50.4958,C,B,Mr,0
3,male,18.0,2,2,34.375,S,N,Mr,4
1,female,38.903225806451616,0,0,27.7208,C,N,Mrs,0
3,female,22.0,0,0,8.9625,S,N,Miss,0
3,male,32.0,0,0,7.55,S,N,Mr,0
3,male,27.0,0,0,7.225,C,N,Mr,0
3,male,23.0,1,0,13.9,S,N,Mr,1
3,male,32.0,0,0,7.2292,C,N,Mr,0
3,male,40.0,1,5,31.3875,S,N,Mr,6
2,female,15.0,0,2,39.0,S,N,Miss,2
2,female,20.0,0,0,36.75,S,N,Miss,0
1,male,54.0,1,0,55.4417,C,C,Mr,1
2,female,36.0,0,3,39.0,S,F,Mrs,3
1,female,64.0,0,2,83.1583,C,E,Mrs,2
2,male,30.0,0,0,13.0,S,N,Mr,0
1,male,37.0,1,1,83.1583,C,E,Mr,2
1,female,18.0,1,0,53.1,S,D,Mrs,1
3,male,32.0,0,0,7.75,Q,N,Mr,0
1,female,27.0,1,1,247.5208,C,B,Mrs,2
2,male,40.0,0,0,16.0,S,N,Mr,0
2,female,21.0,0,1,21.0,S,N,Miss,1
3,male,17.0,2,0,8.05,S,N,Mr,2
3,female,21.774843750000002,8,2,69.55,S,N,Miss,10
2,male,40.0,0,0,13.0,S,N,Mr,0
2,male,34.0,1,0,26.0,S,N,Mr,1
1,male,32.0,0,0,26.0,S,N,Mr,0
3,male,11.5,1,1,14.5,S,N,Master,2
2,male,61.0,0,0,12.35,Q,N,Mr,0
2,male,8.0,0,2,32.5,S,N,Master,2
3,male,33.0,0,0,7.8542,S,N,Mr,0
1,male,6.0,0,2,134.5,C,E,Master,2
3,female,18.0,0,0,7.775,S,N,Miss,0
2,male,23.0,0,0,10.5,S,N,Mr,0
3,female,38.903225806451616,0,0,8.1125,S,N,Mrs,0
3,female,21.774843750000002,0,0,15.5,Q,N,Miss,0
3,male,0.33,0,2,14.4,S,N,Master,2
1,male,47.0,1,0,227.525,C,C,Col,1
2,female,8.0,1,1,26.0,S,N,Miss,2
2,male,25.0,0,0,10.5,S,N,Mr,0
1,male,32.0,0,0,25.7417,C,N,Mr,0
3,female,35.0,0,0,7.75,Q,N,Miss,0
2,male,24.0,0,0,10.5,S,N,Mr,0
1,female,33.0,0,0,27.7208,C,A,Miss,0
3,male,25.0,0,0,7.8958,S,N,Mr,0
3,male,32.0,0,0,22.525,S,N,Mr,0
3,male,32.0,0,0,7.05,S,N,Mr,0
2,male,17.0,0,0,73.5,S,N,Mr,0
2,female,60.0,1,0,26.0,S,N,Mrs,1
3,female,38.0,4,2,7.775,S,N,Miss,6
1,male,42.0,0,0,42.5,S,B,Mr,0
3,female,21.774843750000002,0,0,7.8792,Q,N,Miss,0
1,male,57.0,1,1,164.8667,S,N,Mr,2
1,female,50.0,1,1,211.5,C,C,Mrs,2
3,male,32.0,0,0,8.05,S,N,Mr,0
2,female,30.0,1,0,13.8583,C,N,Miss,1
3,male,21.0,0,0,8.05,S,N,Mr,0
2,female,22.0,0,0,10.5,S,F,Mrs,0
3,male,21.0,0,0,7.7958,S,N,Mr,0
1,female,53.0,0,0,27.4458,C,N,Mrs,0
3,female,38.903225806451616,0,2,15.2458,C,N,Mrs,2
3,male,23.0,0,0,7.7958,S,N,Mr,0
3,female,21.774843750000002,0,0,7.75,Q,N,Miss,0
3,male,40.5,0,0,15.1,S,N,Mr,0
2,male,36.0,0,0,13.0,S,N,Mr,0
2,male,14.0,0,0,65.0,S,N,Mr,0
1,female,21.0,0,0,26.55,S,N,Miss,0
3,male,21.0,1,0,6.4958,S,N,Mr,1
3,male,32.0,0,0,7.8792,Q,N,Mr,0
1,male,39.0,1,0,71.2833,C,C,Mr,1
3,male,20.0,0,0,7.8542,S,N,Mr,0
1,male,64.0,1,0,75.25,C,D,Mr,1
3,male,20.0,0,0,7.225,C,N,Mr,0
2,female,18.0,1,1,13.0,S,N,Miss,2
1,female,48.0,1,0,106.425,C,C,Mrs,1
1,female,55.0,0,0,27.7208,C,N,Mrs,0
2,female,45.0,0,2,30.0,S,N,Mrs,2
1,male,45.0,1,1,134.5,C,E,Mr,2
3,male,32.0,0,0,7.8875,S,N,Mr,0
3,male,7.406470588235294,1,2,23.45,S,N,Master,3
1,male,41.0,1,0,51.8625,S,D,Mr,1
2,female,22.0,0,0,21.0,S,N,Mrs,0
2,male,42.0,1,1,32.5,S,N,Mr,2
2,female,29.0,1,0,26.0,S,N,Mrs,1
3,female,38.903225806451616,1,0,14.4542,C,N,Mrs,1
2,female,0.92,1,2,27.75,S,N,Miss,3
3,male,20.0,0,0,7.925,S,N,Mr,0
1,male,27.0,1,0,136.7792,C,C,Mr,1
3,male,24.0,0,0,9.325,S,N,Mr,0
3,male,32.5,0,0,9.5,S,N,Mr,0
3,male,32.0,0,0,7.55,S,N,Mr,0
3,male,32.0,0,0,7.75,Q,N,Mr,0
3,male,28.0,0,0,8.05,S,N,Mr,0
2,female,19.0,0,0,13.0,S,N,Miss,0
3,male,21.0,0,0,7.775,S,N,Mr,0
3,male,36.5,1,0,17.4,S,N,Mr,1
3,male,21.0,0,0,7.8542,S,N,Mr,0
2,female,29.0,0,2,23.0,S,N,Mrs,2
3,female,1.0,1,1,12.1833,S,N,Miss,2
2,male,30.0,0,0,12.7375,C,N,Mr,0
3,male,32.0,0,0,7.8958,S,N,Mr,0
1,male,32.0,0,0,0.0,S,N,Mr,0
3,male,32.0,0,0,7.55,S,N,Mr,0
3,female,21.774843750000002,0,0,8.05,S,N,Miss,0
3,male,17.0,0,0,8.6625,S,N,Mr,0
1,male,46.0,0,0,75.2417,C,C,Mr,0
3,male,32.0,0,0,7.75,Q,N,Mr,0
1,female,26.0,1,0,136.7792,C,C,Mrs,1
3,female,21.774843750000002,1,0,15.5,Q,N,Miss,1
3,male,32.0,0,0,7.225,C,N,Mr,0
2,female,20.0,1,0,26.0,S,N,Miss,1
2,male,28.0,0,0,10.5,S,N,Mr,0
2,male,40.0,1,0,26.0,S,N,Mr,1
2,male,30.0,1,0,21.0,S,N,Mr,1
2,male,22.0,0,0,10.5,S,N,Mr,0
3,female,23.0,0,0,8.6625,S,N,Miss,0
3,male,0.75,1,1,13.775,S,N,Master,2
3,female,21.774843750000002,0,0,7.75,Q,N,Miss,0
3,female,9.0,1,1,15.2458,C,N,Miss,2
3,female,2.0,1,1,20.2125,S,N,Miss,2
3,male,36.0,0,0,7.25,S,N,Mr,0
3,male,32.0,0,0,7.25,S,N,Mr,0
1,male,24.0,1,0,82.2667,S,B,Mr,1
3,male,32.0,0,0,7.2292,C,F,Mr,0
3,male,32.0,0,0,8.05,S,N,Mr,0
1,male,32.0,0,0,39.6,S,N,Mr,0
3,female,30.0,0,0,6.95,Q,N,Miss,0
3,male,32.0,0,0,7.2292,C,N,Mr,0
1,male,53.0,1,1,81.8583,S,A,Dr,2
3,male,36.0,0,0,9.5,S,N,Mr,0
3,male,26.0,0,0,7.8958,S,N,Mr,0
2,female,1.0,1,2,41.5792,C,N,Miss,3
3,male,32.0,2,0,21.6792,C,N,Mr,2
1,male,30.0,0,0,45.5,S,N,Mr,0
3,male,29.0,0,0,7.8542,S,N,Mr,0
3,male,32.0,0,0,7.775,S,N,Mr,0
2,male,32.0,0,0,15.0458,C,D,Mr,0
2,male,43.0,0,1,21.0,S,N,Mr,1
3,male,24.0,0,0,8.6625,S,N,Mr,0
3,female,21.774843750000002,0,0,7.75,Q,N,Miss,0
1,female,64.0,1,1,26.55,S,B,Mrs,2
1,male,30.0,1,2,151.55,S,C,Mr,3
3,male,0.83,0,1,9.35,S,N,Master,1
1,male,55.0,1,1,93.5,S,B,Mr,2
3,female,45.0,1,0,14.1083,S,N,Mrs,1
3,male,18.0,0,0,8.6625,S,N,Mr,0
3,male,22.0,0,0,7.225,C,N,Mr,0
3,male,32.0,0,0,7.575,S,N,Mr,0
3,female,37.0,0,0,7.75,Q,N,Miss,0
1,female,55.0,0,0,135.6333,C,C,Mrs,0
3,female,17.0,0,0,7.7333,Q,N,Miss,0
1,male,57.0,1,0,146.5208,C,B,Mr,1
2,male,19.0,0,0,10.5,S,N,Mr,0
3,male,27.0,0,0,7.8542,S,N,Mr,0
2,male,22.0,2,0,31.5,S,N,Mr,2
3,male,26.0,0,0,7.775,S,N,Mr,0
3,male,25.0,0,0,7.2292,C,F,Mr,0
2,male,26.0,0,0,13.0,S,F,Mr,0
1,male,33.0,0,0,26.55,S,N,Mr,0
1,female,39.0,0,0,211.3375,S,N,Miss,0
3,male,23.0,0,0,7.05,S,N,Mr,0
2,female,12.0,2,1,39.0,S,F,Miss,3
1,male,46.0,0,0,79.2,C,N,Mr,0
2,male,29.0,1,0,26.0,S,N,Mr,1
2,male,21.0,0,0,13.0,S,N,Mr,0
2,female,48.0,0,2,36.75,S,N,Mrs,2
1,male,39.0,0,0,29.7,C,A,Mr,0
3,male,32.0,0,0,7.225,C,N,Mr,0
3,female,19.0,1,1,15.7417,C,N,Mrs,2
3,male,27.0,0,0,7.8958,S,N,Mr,0
1,male,30.0,0,0,26.0,S,C,Mr,0
2,male,32.0,0,0,13.0,S,N,Mr,0
3,male,39.0,0,2,7.2292,C,N,Mr,2
2,male,25.0,0,0,31.5,S,N,Mr,0
3,male,7.406470588235294,0,0,7.2292,C,N,Master,0
2,male,18.0,0,0,10.5,S,N,Mr,0
3,male,32.0,0,0,7.5792,S,N,Mr,0
3,male,32.0,1,9,69.55,S,N,Mr,10
1,female,58.0,0,1,512.3292,C,B,Mrs,1
3,male,7.406470588235294,1,1,14.5,S,N,Master,2
3,female,16.0,0,0,7.65,S,N,Miss,0
2,male,26.0,0,0,13.0,S,N,Mr,0
3,female,38.0,0,0,7.2292,C,N,Mrs,0
2,male,24.0,0,0,13.5,S,N,Mr,0
2,female,31.0,0,0,21.0,S,N,Miss,0
1,female,45.0,0,1,63.3583,C,D,Mrs,1
2,male,25.0,0,0,10.5,S,N,Mr,0
2,male,18.0,0,0,73.5,S,N,Mr,0
2,male,49.0,1,2,65.0,S,N,Mr,3
3,female,0.17,1,2,20.575,S,N,Miss,3
1,male,50.0,0,0,26.0,S,E,Mr,0
1,female,59.0,2,0,51.4792,S,C,Mrs,2
3,male,32.0,0,0,7.8792,S,N,Mr,0
3,male,32.0,0,0,7.75,Q,N,Mr,0
3,female,30.0,1,0,15.55,S,N,Mrs,1
3,male,14.5,8,2,69.55,S,N,Master,10
2,female,24.0,1,1,37.0042,C,N,Mrs,2
2,female,31.0,0,0,21.0,S,N,Mrs,0
3,male,27.0,0,0,8.6625,S,N,Mr,0
1,female,25.0,1,0,55.4417,C,E,Mrs,1
3,female,38.903225806451616,1,9,69.55,S,N,Mrs,10
3,male,32.0,1,0,14.4583,C,N,Mr,1
3,female,22.0,0,0,39.6875,S,N,Miss,0
1,female,45.0,0,1,59.4,C,N,Mrs,1
2,male,29.0,0,0,13.8583,C,N,Mr,0
2,male,21.0,1,0,11.5,S,N,Mr,1
1,female,31.0,0,0,134.5,C,E,Miss,0
1,male,49.0,0,0,0.0,S,B,Mr,0
2,male,44.0,0,0,13.0,S,N,Mr,0
1,female,54.0,1,1,81.8583,S,A,Mrs,2
1,female,45.0,0,0,262.375,C,N,Miss,0
3,female,22.0,2,0,8.6625,S,N,Miss,2
2,male,21.0,0,0,11.5,S,N,Mr,0
1,male,55.0,0,0,50.0,S,C,Mr,0
3,male,5.0,4,2,31.3875,S,N,Master,6
3,male,32.0,0,0,7.75,Q,N,Mr,0
3,male,26.0,0,0,7.8792,Q,N,Mr,0
3,female,38.903225806451616,0,0,14.5,S,N,Mrs,0
3,female,19.0,1,0,16.1,S,N,Mrs,1
2,male,32.0,0,0,12.875,S,N,Mr,0
2,female,24.0,1,2,65.0,S,N,Miss,3
3,male,24.0,0,0,7.775,S,N,Mr,0
2,male,57.0,0,0,13.0,S,N,Mr,0
3,male,21.0,0,0,7.75,Q,N,Mr,0
3,male,6.0,3,1,21.075,S,N,Master,4
1,male,23.0,0,0,93.5,S,B,Mr,0
1,female,51.0,0,1,39.4,S,D,Mrs,1
3,male,13.0,0,2,20.25,S,N,Master,2
2,male,47.0,0,0,10.5,S,N,Mr,0
3,male,29.0,3,1,22.025,S,N,Mr,4
1,female,18.0,1,0,60.0,S,C,Mrs,1
3,male,24.0,0,0,7.25,Q,N,Mr,0
1,female,48.0,1,1,79.2,C,B,Mrs,2
3,male,22.0,0,0,7.775,S,N,Mr,0
3,male,31.0,0,0,7.7333,Q,N,Mr,0
1,female,30.0,0,0,164.8667,S,C,Miss,0
2,male,38.0,1,0,21.0,S,N,Mr,1
1,female,22.0,0,1,59.4,C,N,Miss,1
1,male,17.0,0,0,47.1,S,N,Mr,0
1,male,43.0,1,0,27.7208,C,D,Mr,1
2,male,20.0,0,0,13.8625,C,D,Mr,0
2,male,23.0,1,0,10.5,S,N,Mr,1
1,male,50.0,1,1,211.5,C,C,Mr,2
3,female,21.774843750000002,0,0,7.7208,Q,N,Miss,0
3,female,3.0,1,1,13.775,S,N,Miss,2
3,female,21.774843750000002,0,0,7.75,Q,N,Miss,0
1,female,37.0,1,0,90.0,Q,C,Mrs,1
3,female,28.0,0,0,7.775,S,N,Miss,0
3,male,32.0,0,0,8.05,S,N,Mr,0
1,female,39.0,0,0,108.9,C,C,Dona,0
3,male,38.5,0,0,7.25,S,N,Mr,0
3,male,32.0,0,0,8.05,S,N,Mr,0
3,male,7.406470588235294,1,1,22.3583,C,N,Master,2
